"CSV file for plotted parameters
Date: Fri Aug 18 12:55:26 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
1.26666667,-0.00106945,-2.23100410,-0.17779026,-0.06812931,0.17214831,-0.00004822,-0.51894418,-0.00590808,-0.01260333,-53.20936625,-1.03257271,-0.65741996,0.97425665,-4.93169730,6.98039935
1.28333333,-0.00105008,-2.26742949,-0.17339557,-0.22283203,0.17884985,0.00067650,-0.16200198,0.00701975,0.00074111,21.41653301,0.77565127,0.80061021,0.96239018,-3.33298407,6.98043693
1.30000000,-0.00092069,-2.30333934,-0.17161217,-0.13469725,0.17534944,0.00611034,0.09231211,-0.00364786,0.00570169,15.25884532,-0.64005134,0.29763343,0.91653634,-4.73362333,6.98044861
1.31666667,-0.00073688,-2.33924905,-0.17255200,-0.04653608,0.16651817,0.01202057,0.09234063,-0.00923828,0.00620377,0.00171087,-0.33542644,0.03012578,0.88302365,-3.76249968,6.98057496
1.33333333,-0.00050924,-2.37515910,-0.17621464,0.04160004,0.15339521,0.01831397,0.09231433,-0.01374205,0.00659100,-0.00157771,-0.27022866,0.02323491,0.85596602,-3.03923263,6.98075342
1.35000000,-0.00047666,-2.41625520,-0.17287634,-0.48191351,0.14340774,0.01307597,-0.54823631,-0.01047989,-0.00544500,-38.43303871,0.19572620,-0.72215850,0.84276346,-2.25094169,6.98097313
1.36666667,-0.00034913,-2.45221421,-0.17470514,-0.16657874,0.13602674,0.01811272,0.33023066,-0.00769940,0.00531812,52.70801867,0.16676381,0.64575549,0.82852944,-2.23202318,6.98098942
1.38333333,-0.00018921,-2.48815786,-0.17924087,0.14857822,0.12550433,0.02345993,0.33004438,-0.01101817,0.00560132,-0.01117667,-0.19915389,0.01700811,0.80848789,-2.25413738,6.98110607
1.40000000,-0.00016469,-2.52929946,-0.17720397,-0.12579860,0.13787348,0.03295235,-0.28730389,0.01295097,0.00994299,-37.04089646,1.43811066,0.26051847,0.82062970,-1.63740155,6.98125319
1.41666667,-0.00013396,-2.56560301,-0.17494200,-0.09808310,0.14445361,0.03300782,0.02902375,0.00689080,0.00004463,18.97965912,-0.36358327,-0.59390058,0.78350535,-4.15786532,6.98126159
