"CSV file for plotted parameters
Date: Fri Aug 18 13:05:01 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
1.01666667,-0.00171712,-1.65209454,-0.17584830,-0.05483290,0.11623761,-0.00163365,0.18868156,0.00753645,0.00121480,5.76793106,-0.05222328,0.05452943,1.27872802,-1.79772075,6.97984226
1.03333333,-0.00171341,-1.68751492,-0.17922067,0.30068125,0.12759724,-0.00196843,0.37229280,0.01189652,-0.00032505,11.01667423,0.26161063,-0.09239061,1.26826395,-1.99484393,6.97986924
1.05000000,-0.00169300,-1.72801376,-0.17584871,0.06007859,0.12586749,-0.00902029,-0.25197485,-0.00178813,-0.00739035,-37.45605898,-0.82103694,-0.42391688,1.23387304,-2.78892338,6.97986928
1.06666667,-0.00165012,-1.76849815,-0.17519410,-0.18015152,0.12190510,-0.01590267,-0.25158396,-0.00415696,-0.00720286,0.02345314,-0.14213016,0.01124187,1.21971209,-1.58962936,6.97988611
1.08333333,-0.00147884,-1.80437248,-0.17958657,0.26179395,0.11286231,-0.00788266,0.46282141,-0.00947560,0.00839179,42.86432278,-0.31912219,0.93567216,1.20491545,-1.27613557,6.97992524
1.10000000,-0.00146976,-1.84633495,-0.17540384,-0.00801577,0.11943693,-0.00197172,-0.28253153,0.00687121,0.00620515,-44.72117679,0.98073988,-0.13115383,1.21723331,-0.53327497,6.98009592
1.11666667,-0.00142902,-1.88828056,-0.17393633,-0.27743502,0.12286686,0.00418437,-0.28212155,0.00360787,0.00643766,0.02459907,-0.19578675,0.01395050,1.19782418,-2.17652265,6.98009663
1.13333333,-0.00164920,-1.92430601,-0.17882763,0.11874440,0.14260659,-0.00674872,0.41485159,0.02065556,-0.01147771,41.81838797,1.02286884,-1.07492116,1.19962285,-2.04045509,6.98013040
1.15000000,-0.00163949,-1.96624304,-0.17601145,-0.14745628,0.15117758,-0.00913068,-0.27877109,0.00897490,-0.00249662,-41.61736193,-0.70073939,0.53883842,1.15662471,-4.21643095,6.97990083
1.16666667,-0.00164334,-2.00207143,-0.17955048,0.27226851,0.16237552,-0.00982071,0.43953279,0.01172727,-0.00070983,43.09823285,0.16516309,0.10719864,1.13293057,-3.55716813,6.97991059
